layer,expert,expert_label,mean_activation_correct,mean_activation_incorrect,success_delta,delta_height,delta_position,delta_rotation,delta_ordering
46,108,L46_E108,6.240586006995475,6.244434281735117,-0.0038482747396422212,-0.004690004622235122,0.02527429580688434,0.0038332583611477844,-0.013844090700149358
18,98,L18_E98,4.888274542175897,4.892143949617112,-0.0038694074412148893,-0.00906971272300261,0.02304738998413125,-0.04021193792945432,-0.019420266151428223
39,96,L39_E96,4.714924817038055,4.718797889441551,-0.003873072403496103,-0.008880612604758475,0.019465338389078823,-0.019643694685217206,0.007314920425415039
9,23,L9_E23,5.082665906094088,5.086550073081434,-0.0038841669873459495,0.026504636687390892,0.011431140899658132,-0.02464501063029001,0.03619974255561775
5,36,L5_E36,4.7711056341039075,4.774995518368622,-0.0038898842647148157,0.031204727642676566,0.019320036570230847,-0.027197616142139225,-0.040835756063462014
37,46,L37_E46,5.057247355432794,5.061140049261393,-0.0038926938285994694,0.012903577264617105,-0.0020007832845045925,-0.013714579113742964,-0.016660517454147872
37,115,L37_E115,5.085801927169951,5.089698314666748,-0.0038963874967974377,0.01352967760142132,-0.0127404530843096,-0.013159062778740349,0.00510820746421814
47,43,L47_E43,6.904230854298809,6.90814079488799,-0.003909940589180927,0.0032019448630951075,0.025985819498697715,-0.009389851176948127,-0.006568121910095037
46,75,L46_E75,5.074370228418029,5.078293385712997,-0.003923157294967616,-0.005684050567009713,-0.0031112162272135535,-0.01646664895509442,0.007877439260482788
40,28,L40_E28,4.916745558823689,4.920671129705116,-0.003925570881427198,-0.006824231323073526,-0.004137732187906806,0.023877377049964288,-0.025173485279083252
45,77,L45_E77,4.692619673096307,4.696564884887491,-0.003945211791183567,-0.0043660709086585925,-0.004815432230631522,-0.014660987937659797,0.01790486574172956
1,94,L1_E94,4.894628921357712,4.89857475095768,-0.0039458295999681425,0.014806451166377244,0.03193597157796191,-0.03488197556713146,-0.03402241468429601
46,123,L46_E123,4.9652311495035,4.969184759069845,-0.003953609566344163,0.004835730966399332,-0.015835164388020573,-0.0088415438668763,0.01707048416137713
42,77,L42_E77,4.700832466087719,4.704789042074146,-0.003956575986427069,-0.0014888766933891517,-0.007109896341959576,-0.008089143978922131,0.015106445550918224
34,4,L34_E4,4.889035782011429,4.892992920700125,-0.003957138688695849,-0.011371306636753786,0.034529272715250414,-0.01769043479049426,-0.05357164144515991
46,76,L46_E76,4.759012467790358,4.7629697362714785,-0.003957268481120657,-0.005211807349148501,-0.009947846730550047,0.010812044143676758,0.0028012037277225232
19,52,L19_E52,5.295804170098635,5.299783551972048,-0.003979381873413068,-0.0035160332918167114,-0.016242014567056984,-0.033561948098634,0.010520845651626587
17,73,L17_E73,4.771531761282741,4.775519608653908,-0.003987847371166531,-0.02205434879835888,-0.016391601562500746,0.005982672959042645,0.001120060682296753
46,117,L46_E117,5.120466558059843,5.124456565116959,-0.003990007057115719,-0.0185272325487702,-0.00013910929361937718,0.009471939321150202,-0.001709228754044112
42,49,L42_E49,5.450094709301939,5.454094724112928,-0.004000014810989327,0.0066820418133453074,-0.01817694346110077,-0.0147552124240935,0.04145089983940142
36,57,L36_E57,4.5498979776212485,4.553924062977666,-0.004026085356417575,-0.0018510748358337992,0.027789872487386624,-0.07785409270671373,0.013200521469116211
33,43,L33_E43,4.72287922094364,4.726909064927628,-0.0040298439839876465,-0.013937276075868255,0.001213734944661482,-0.00011198980766469191,-0.010037779808044434
17,80,L17_E80,5.33483894744722,5.338871895270204,-0.004032947822984134,-0.02085787145530471,0.026040490468343336,-0.0035648293662484676,-0.007282298803329645
16,98,L16_E98,4.891911166729313,4.895966561741654,-0.004055395012340313,0.009924651068799584,-0.036390622456868194,-0.0005229523307397344,-0.03264794945716876
33,121,L33_E121,4.515762664303921,4.519821495515447,-0.004058831211525948,-0.004791657714283026,-0.011592369079589382,-0.006319603376221394,-0.011118364334105735
41,10,L41_E10,4.8270343553901895,4.83110845368044,-0.004074098290250738,0.002222184749210321,-0.002139581044515282,-0.00852154744298872,-0.03488399982452339
41,74,L41_E74,5.540398866823404,5.544508806439148,-0.004109939615744018,-0.0004595097373512047,0.0003318595886234732,-0.020709977861036677,-0.040609085559845326
30,8,L30_E8,5.560386992917202,5.564506733297903,-0.004119740380700954,-0.0026846326449341262,-0.006052055358886754,-0.009266466425176922,0.03626433610916102
0,66,L0_E66,4.946891591100409,4.951011528538222,-0.004119937437812915,-0.004448994994163513,-0.021465098063151444,0.00027897065145943145,-0.0002515494823454034
47,48,L47_E48,4.8019367491844855,4.8060591308568235,-0.004122381672337916,-0.007785758551428934,0.003778387705485109,0.006942743794959405,0.01145594120025617
32,65,L32_E65,5.91903806440901,5.92316145402532,-0.004123389616309758,0.019266561550252526,0.0014551862080889322,-0.00036029125514769333,0.03286350965499896
11,53,L11_E53,4.973420771041719,4.977544822820453,-0.0041240517787333175,-0.031976309769294,0.000990975697835239,0.00404346407505507,-0.07328536510467565
37,116,L37_E116,4.853287880963618,4.857415693659448,-0.0041278126958292916,7.210058324513824e-05,0.030259087880453173,-0.006076411197059706,-0.016184252500534235
6,113,L6_E113,4.881073224662554,4.885206581358128,-0.004133356695573909,-0.026418195927844224,-0.03111703872680671,0.001217162399960614,-0.005192530155182062
31,36,L31_E36,5.016509037206669,5.020648123827268,-0.004139086620599031,-0.012352773371865133,0.014640598297118501,-0.0005388636338086172,-0.038452666997909724
30,71,L30_E71,4.763829273752647,4.76797008354927,-0.004140809796623124,-0.003959988846498064,-0.001799030303955007,0.003624407868636048,-0.03249851465225273
47,39,L47_E39,5.038691785075877,5.042853843408285,-0.004162058332407348,-0.001122809508267153,-0.008331794738769993,0.00460933279572906,-0.0038864493370054376
35,69,L35_E69,4.929223863205107,4.933392617216079,-0.004168754010971831,-0.0021650922649048,0.0019631640116370974,-0.01212104579858675,0.017545145750045954
16,95,L16_E95,5.223329775404222,5.227505329859297,-0.004175554455074781,0.0028628549155067518,0.017648925781250213,-0.029152585749040227,-0.08420380353927648
28,32,L28_E32,4.696328606936011,4.700508822565493,-0.00418021562948212,0.00734420734293284,-0.0015897814432781487,-0.0008592281425210402,-0.024105113744735007
26,16,L26_E16,4.623148082506539,4.627328710013807,-0.00418062750726822,-0.005054669345126328,-0.006466744740803776,0.007363643562584343,-0.017124456167221247
18,12,L18_E12,5.377861490344057,5.382045300907913,-0.004183810563856305,0.010413681759553484,0.034271125793456925,-0.03935934263363272,0.03263757824897784
2,77,L2_E77,4.941176126498987,4.9454010705086695,-0.004224944009682652,0.006985202431678772,0.02889953613281282,-0.030329253589897576,0.008510351181030273
44,59,L44_E59,4.580580291181508,4.584808990708163,-0.0042286995266556104,-0.005282686913714585,0.008236796061198426,-0.014522215776276326,0.001068413257598877
36,75,L36_E75,5.163704806035108,5.167961375769165,-0.004256569734057081,-0.003564506769180298,0.019394060770670407,0.01741248369216919,0.026677650213241755
36,80,L36_E80,5.029798739027269,5.03405789467802,-0.00425915565075119,0.009540570132872794,0.017395490010579273,-0.017040608222024467,0.018965893983841298
38,102,L38_E102,5.325853933202158,5.330129345922566,-0.0042754127204078785,-0.002853333073503883,0.006195596059162867,-0.02009320991081065,0.012986922264099476
1,23,L1_E23,5.411070214639796,5.41534642152563,-0.004276206885833744,0.030919652651338225,0.002734667460123852,-0.02014154509494137,0.008547884225845515
24,5,L24_E5,4.545969004678254,4.550245375936247,-0.004276371257993183,0.0017280254293892128,-0.0018361536661783973,-0.006612826857650411,-0.025834393501281916
15,58,L15_E58,4.288590247088139,4.292868475451518,-0.0042782283633782114,-0.036621170885422494,-0.030319662094115962,0.019156126599562562,-0.025088959932327626
41,18,L41_E18,4.851845528819774,4.85614074273253,-0.004295213912755891,-0.007681245312971541,-0.024520587921142756,0.012660877746448307,0.0007305502891536975
1,31,L1_E31,5.036234053054659,5.040531096251114,-0.004297043196455519,-0.03478497266769409,0.01957225163777654,0.02912582012644993,-0.04104107618331909
0,121,L0_E121,4.8766703605651855,4.8809705833128865,-0.004300222747700921,-0.006754335235147124,0.0042133585611985325,0.011399683199431188,-0.020783638954162242
35,93,L35_E93,5.07001537851768,5.074317834847747,-0.004302456330067095,-0.008584592272253389,0.006727002461751397,-0.0026019748888517213,-0.0042280316352840686
17,34,L17_E34,4.683387029289019,4.687693186029542,-0.00430615674052337,-0.02906881185138932,0.004536361694335689,0.014670170190042242,-0.05100524425506592
34,111,L34_E111,4.906904027013495,4.911227754127221,-0.0043237271137259725,-0.007655631093418158,-0.004699052174886198,0.012479472578617035,-0.013771158456801658
22,17,L22_E17,4.35170857268985,4.356043474331349,-0.0043349016414993,-0.009083306088166765,-0.0033689689636231535,-0.006813399624406635,-0.02485684156417811
9,9,L9_E9,5.228340918474858,5.232694436076493,-0.004353517601634493,0.00340290367603302,-0.008425337473551231,-0.0015560148055087097,-0.0078051447868343615
45,44,L45_E44,4.880849687179716,4.8852057759977106,-0.004356088817994319,-0.010663061457521827,-0.00024079004923560632,0.001378069844162333,0.005721259117126287
12,126,L12_E126,4.76105002129432,4.765409386676291,-0.004359365381970903,-0.014033359639785026,-0.009414494832356901,0.0011891346228747324,-0.049429124593735274
0,51,L0_E51,4.750016561829217,4.754376135542241,-0.004359573713023757,-0.026014312225229652,-0.012090644836425746,-0.019005736760925984,-0.010365831851959051
12,43,L12_E43,4.83129893199052,4.835661058840544,-0.004362126850024239,0.0033976987880821596,0.0006323814392086291,0.01317811325976681,-0.017846143245696666
46,44,L46_E44,4.925769078849566,4.930165927146988,-0.004396848297422373,-0.020355632199960283,-0.019083639780680173,-1.617586403490634e-05,0.014397007226944147
45,119,L45_E119,4.980182468300999,4.984579425990382,-0.004396957689382752,0.015684628311325888,0.0005813280741371329,0.010955639052808941,-0.0036792099475855267
37,83,L37_E83,4.786959043823846,4.7913593289046785,-0.004400285080832234,0.0039267320843308084,0.017015565236409458,-0.006496231806905506,-0.03053062558174169
19,2,L19_E2,4.916729091417672,4.921135275658955,-0.004406184241283029,0.0057577078833297435,-0.004062004089354865,0.013815579707162406,0.027718025445937933
22,56,L22_E56,5.600203278041122,5.6046200994663815,-0.004416821425259343,0.002793796798762571,0.026494928995768774,-0.019435784272980428,0.02392756342887825
41,44,L41_E44,4.9746250020395415,4.9790430946094935,-0.004418092569951959,-0.003352027605561858,-0.01217155456542951,0.00402143963596302,-0.06247849464416522
44,41,L44_E41,4.83950130066069,4.843925252805984,-0.004423952145293342,-0.012111220289678926,0.005772101084390968,-0.02673520017088471,0.05197101235389745
9,76,L9_E76,5.174352962191742,5.178778826991053,-0.00442586479931073,0.008157964138423957,-0.002207209269205812,0.022345731132908497,-0.06039298176765495
14,61,L14_E61,5.042840244746444,5.047274847891817,-0.004434603145372584,0.013688421424697061,0.0046007601420079425,0.004719256309041242,-0.044810086488723755
8,110,L8_E110,5.619281528019669,5.623718588647236,-0.004437060627567213,-0.014325056005926484,-0.016797936757405374,0.011746354270399273,-0.0019036471843723035
19,6,L19_E6,5.049813907925445,5.0542561138752715,-0.004442205949826139,-0.013562749413883246,0.007301184336344413,-0.023797196254395026,0.043413823843001964
44,40,L44_E40,4.738839007840298,4.743284600235547,-0.004445592395248887,-0.01447363022495729,0.0014626820882153169,0.0029862847244528368,-0.009411931037902832
3,119,L3_E119,4.741199030734525,4.745649935808469,-0.004450905073944078,-0.028493946966002603,0.004960473378499586,0.02773873534118909,-0.06313061714172363
2,57,L2_E57,4.971799907117787,4.976252535115117,-0.004452627997330261,-0.012289368930985312,0.0037688318888351446,0.020278256190450428,-0.025634044408797685
37,81,L37_E81,4.919411163518925,4.923866723293445,-0.004455559774520168,-0.00641945705694269,0.0021623357137041666,-0.0025980671246843556,0.009642589092254461
4,121,L4_E121,5.248268986692523,5.25272520090824,-0.004456214215717402,0.017139708294587663,-0.007483984629312879,0.004524871968386357,-0.04182820916175878
